,"Aegithalos caudatus","Alauda arvensis","Anthus trivialis","Certhia familiaris","Columba palumbus","Corvus corax","Cuculus canorus","Dryocopus martius","Erithacus rubecula","Ficedula albicollis","Ficedula parva","Fringilla coelebs","Loxia curvirostra","Parus ater","Parus cristatus","Parus major","Parus montanus","Phoenicurus phoenicurus","Phylloscopus collybita","Phylloscopus sibilatrix","Phylloscopus trochilus","Prunella modularis","Pyrrhula pyrrhula","Regulus regulus","Regulus ignicapillus","Sitta europaea","Sylvia atricapilla","Troglodytes troglodytes","Turdus merula","Turdus philomelos","Turdus viscivorus","Turdus torquatus","Carduelis spinus","Regulus spp.","Parus palustris","Motacilla cinerea","Oriolus oriolus",,,"Altitude","Forest Cover","Forest Density","Broadleaf Trees","E2 Layer","E2 Confiers","E1 Layer","E1Height","Slope","Rocks","Exposition"
,"AegiCaud","AlauArve","AnthTriv","CertFami","ColuPalu","CorvCora","CucuCano","DryoMart","EritRube","FiceAlbi","FiceParv","FrinCoel","LoxiCurv","ParuAter","ParuCris","ParuMajo","ParuMont","PhoePhoe","PhylColl","PhylSibi","PhylTro ","PrunModu","PyrrPyrr","ReguRegu","ReguIgni","SittEuro","SylvAtri","TrogTrog","TurdMeru","TurdPhil","TurdVisc","TurdTorq","CardSpin","Regu_sp.","ParuPalu","MotaCine","OriOri  ",,,"Altit","Forest","ForDens","BrLeaf","E2","E2Con","E1","E1Height","Slope","Rocks","Expos"
"R1      ",,,,,,,,,1,,,2,,1,,,1,,1,,,1,,,1,,1,,,,,,,,,,,,"R1      ",860,4,3,2,2,2,3,1,8,"no","cold"
"R2      ",,,,,,,,,1.5,,,3,0.5,2,,,0.8,,0.5,,0.5,1,0.5,1,,,0.5,,0.8,,,0.3,,,,,,,"R2      ",1010,4,3,2,0,0,1,1,5,"yes","cold"
"R3      ",,,,,,,1,,1,,,3,,2,0.5,,,,,,,0.5,0.5,1,,0.5,0.5,,,0.5,,0.5,0.3,0.5,0.5,,,,"R3      ",1070,4,2,2,2,2,4,1,8,"no","cold"
"R4      ",,,,,,,,,1.5,,,2.8,,1,,,,,,,,0.5,,,,,,0.5,0.5,,,0.5,,0.3,0.5,,,,"R4      ",1050,4,2,2,2,2,3,1,9,"no","cold"
"R5      ",,,,,,,0.5,,1,,,2.3,,0.3,,0.3,0.5,,0.5,,,1,,1.5,,,0.5,,,,,,0.8,,,0.5,,,"R5      ",1030,4,2,2,2,2,6,1,7,"no","cold"
"R6      ",,,,,,,,,2,,,2.3,,1.5,,,,,1,0.5,,0.5,0.3,0.5,,,1.5,0.5,0.5,,,,,,,,,,"R6      ",880,4,1,2,2,2,5,2,9,"yes","cold"
"R7      ",,,,,0.5,,,,1,,,2,,1.5,0.3,,,,0.5,0.3,0.5,0.5,0.5,0.5,,,0.5,,0.5,0.3,,0.5,,,,,,,"R7      ",1035,4,3,2,2,0,1,1,6,"yes","cold"
"R8      ",,,,,0.3,,,,0.5,,,3.3,0.5,1.8,1,,0.8,,,,,,0.5,0.5,0.5,,1,,,,,0.5,,0.5,,,,,"R8      ",1130,4,2,2,2,2,4,1,1,"no","cold"
"R9      ",,,,,,,0.5,0.3,1.5,1,,2.5,,1,,0.5,0.5,0.5,0.5,,,1.5,,,,,1.5,0.5,1.5,,,,,,,,,,"R9      ",1090,2,2,3,2,0,8,1,6,"no","cold"
"R10     ",,,,,,,0.5,,1,,,2.8,,1.5,,,,0.5,1,,1,0.5,,0.5,,,1,,1,0.5,0.3,,,,,,,,"R10     ",1105,2,2,4,3,2,9,2,6,"no","cold"
"R11     ",,,,,,,0.5,,1,,,3,0.5,0.8,,,,,0.5,,,1,0.8,0.3,,,,,0.5,,,1.3,0.3,,,,,,"R11     ",1240,4,1,2,1,4,8,2,6,"yes","cold"
"R12     ",,,,,,,0.5,0.5,1.5,,,2.8,,,,,,,0.5,,,2,0.3,0.8,,,1.5,,1,0.5,,0.5,,,,,,,"R12     ",1235,4,1,2,3,2,9,3,7,"no","cold"
"R13     ",,,0.5,,,,0.5,,1,0.5,,2.3,,,,,,1,0.5,,0.5,1,0.5,,,,2,1,1,,,0.3,,,,,,,"R13     ",1220,3,2,4,0,0,9,2,6,"no","cold"
