,,N,P,Block
,,N,P,Block
3,3,N2,P0,Block2
5,5,N2,P1,Block2
7,7,N0,P0,Block2
9,9,N3,P1,Block2
11,11,N1,P1,Block2
14,14,N3,P0,Block2
17,17,N1,P0,Block2
20,20,N0,P1,Block2
23,23,N1,P0,Block3
24,24,N2,P0,Block3
27,27,N1,P1,Block3
28,28,N0,P0,Block3
29,29,N0,P1,Block3
30,30,N2,P1,Block3
31,31,N3,P1,Block3
32,32,N3,P0,Block3
33,33,N1,P0,Block1
34,34,N3,P1,Block1
35,35,N0,P1,Block1
36,36,N3,P0,Block1
37,37,N1,P1,Block1
38,38,N2,P1,Block1
39,39,N2,P0,Block1
40,40,N0,P0,Block1
41,41,N3,P0,Block4
42,42,N1,P1,Block4
44,44,N2,P0,Block4
45,45,N0,P0,Block4
47,47,N0,P1,Block4
48,48,N1,P0,Block4
51,51,N3,P1,Block4
52,52,N2,P1,Block4
