,,Stand,LH-treatment,Age,Soil type
,,Stand,LH-treat,Age,SoilType
St1 C 1,St1 C 1,St1,C,1.099,arenosol
St1 C 7,St1 C 7,St1,C,1.099,arenosol
St1 C 11,St1 C 11,St1,C,1.099,arenosol
St1 C 12,St1 C 12,St1,C,1.099,arenosol
St1 S 3,St1 S 3,St1,S,1.099,arenosol
St1 S 4,St1 S 4,St1,S,1.099,arenosol
St1 S 6,St1 S 6,St1,S,1.099,arenosol
St1 S 10,St1 S 10,St1,S,1.099,arenosol
St1 A 2,St1 A 2,St1,A,1.099,arenosol
St1 A 5,St1 A 5,St1,A,1.099,arenosol
St1 A 8,St1 A 8,St1,A,1.099,arenosol
St1 A 9,St1 A 9,St1,A,1.099,arenosol
St2 C 1,St2 C 1,St2,C,2.303,podzol
St2 C 6,St2 C 6,St2,C,2.303,podzol
St2 C 10,St2 C 10,St2,C,2.303,podzol
St2 C 12,St2 C 12,St2,C,2.303,podzol
St2 S 4,St2 S 4,St2,S,2.303,podzol
St2 S 5,St2 S 5,St2,S,2.303,podzol
St2 S 8,St2 S 8,St2,S,2.303,podzol
St2 S 9,St2 S 9,St2,S,2.303,podzol
St2 A 2,St2 A 2,St2,A,2.303,podzol
St2 A 3,St2 A 3,St2,A,2.303,podzol
St2 A 7,St2 A 7,St2,A,2.303,podzol
St2 A 11,St2 A 11,St2,A,2.303,podzol
St3 C 1,St3 C 1,St3,C,2.773,podzol
St3 C 3,St3 C 3,St3,C,2.773,podzol
St3 C 9,St3 C 9,St3,C,2.773,podzol
St3 C 12,St3 C 12,St3,C,2.773,podzol
St3 S 4,St3 S 4,St3,S,2.773,podzol
St3 S 5,St3 S 5,St3,S,2.773,podzol
St3 S 7,St3 S 7,St3,S,2.773,podzol
St3 S 11,St3 S 11,St3,S,2.773,podzol
St3 A 2,St3 A 2,St3,A,2.773,podzol
St3 A 6,St3 A 6,St3,A,2.773,podzol
St3 A 8,St3 A 8,St3,A,2.773,podzol
St3 A 10,St3 A 10,St3,A,2.773,podzol
St4 C 1,St4 C 1,St4,C,3.296,arenosol
St4 C 4,St4 C 4,St4,C,3.296,arenosol
St4 C 9,St4 C 9,St4,C,3.296,arenosol
St4 C 12,St4 C 12,St4,C,3.296,arenosol
St4 S 2,St4 S 2,St4,S,3.296,arenosol
St4 S 5,St4 S 5,St4,S,3.296,arenosol
St4 S 7,St4 S 7,St4,S,3.296,arenosol
St4 S 10,St4 S 10,St4,S,3.296,arenosol
St4 A 3,St4 A 3,St4,A,3.296,arenosol
St4 A 6,St4 A 6,St4,A,3.296,arenosol
St4 A 8,St4 A 8,St4,A,3.296,arenosol
St4 A 11,St4 A 11,St4,A,3.296,arenosol
St5 C 2,St5 C 2,St5,C,3.912,arenosol
St5 C 4,St5 C 4,St5,C,3.912,arenosol
St5 C 5,St5 C 5,St5,C,3.912,arenosol
St5 C 7,St5 C 7,St5,C,3.912,arenosol
St5 S 1,St5 S 1,St5,S,3.912,arenosol
St5 S 3,St5 S 3,St5,S,3.912,arenosol
St5 S 6,St5 S 6,St5,S,3.912,arenosol
St5 S 8,St5 S 8,St5,S,3.912,arenosol
St6 C 1,St6 C 1,St6,C,4.19,arenosol
St6 C 4,St6 C 4,St6,C,4.19,arenosol
St6 C 5,St6 C 5,St6,C,4.19,arenosol
St6 C 8,St6 C 8,St6,C,4.19,arenosol
St6 S 2,St6 S 2,St6,S,4.19,arenosol
St6 S 3,St6 S 3,St6,S,4.19,arenosol
St6 S 6,St6 S 6,St6,S,4.19,arenosol
St6 S 7,St6 S 7,St6,S,4.19,arenosol
