,,Amanita gemmata,Amanita muscaria,Amanita rubescens,Coltricia perennis,Cortinarius fusisporus,Cortinarius croceus,Cortinarius croceoconus,Cortinarius semisanguineus,Gomphidius roseus,Inocybe brevispora,Inocybe lacera,Inocybe ovatocystis,Laccaria bicolor,Laccaria proxima,Lactarius hepaticus,Lactarius necator,Lactarius rufus,Leccinum scabrum,Paxillus involutus,Rhizopogon luteolus,Russula adusta,Russula aeruginea,Russula emetica,Russula ochroleuca,Russula paludosa,Russula parazurea,Russula vesca,Scleroderma citrinum,Suillus bovinus,Thelephora terrestris,Tricholoma albobrunneum,Xerocomus badius,Xerocomus subtomentosus,Number of sporocarps,Number of species
,,Amangemm,Amanmusc,Amanrube,Coltpere,Cortfusi,Cortcroc,Cortcrcc,Cortsemi,Gomprose,Inocbrev,Inoclace,Inocovat,Laccbico,Laccprox,Lacthepa,Lactneca,Lactrufu,Leccscab,Paxiinvo,Rhizlute,Russadus,Russaeru,Russemet,Russochr,Russpalu,Russpara,Russvesc,Sclecitr,Suilbovi,Thelterr,Tricalbo,Xerobadi,Xerosubt,Ncarp,Nspec
St1 C 1,St1 C 1,,,,,,,2,,,,,,,173,,,,,,,,,,,,,,,,6,,,,181,3
St1 C 7,St1 C 7,,,,,,,2,14,1,,,,,1138,,,,,1,1,,,,,,,,,3,295,,,,1455,8
St1 C 11,St1 C 11,,,,,,1,,3,,,,,2,851,25,,,,,,,,,,,,,,,450,,,,1332,6
St1 C 12,St1 C 12,,,,,,,,1,,,,,,208,,,,,,,,,,,,,,,,33,,,,242,3
St1 S 3,St1 S 3,,,,,,,,,,,,,19,595,2,,,,,2,,,,1,,,,,1,270,,,,890,7
St1 S 4,St1 S 4,,,1,,,,,,,,,,,917,15,,,,,,,,,,,,,,,131,,,,1064,4
St1 S 6,St1 S 6,,,,,,,,11,1,,,,2,1071,,,,,,1,,,,,,,,,14,238,,,,1338,7
St1 S 10,St1 S 10,,,,,,,,1,2,,,,,324,,,,,,,,,,,,,,,6,456,,,,789,5
St1 A 2,St1 A 2,,,,,,,,,,,,,2,346,2,,,,1,,,,,,,,,,,,,,,351,4
St1 A 5,St1 A 5,,,,,,,,,,,,,,730,,,,,,,,,,,,,,,,8,,,,738,2
St1 A 8,St1 A 8,,,,,,,,,,,,,,534,,,,,,,,,,,,,,,,37,,1,1,573,4
St1 A 9,St1 A 9,,,,,,1,,15,,1,,,,1238,,,,,,,,,,,,,,,,115,,,,1370,5
St2 C 1,St2 C 1,,,,,,,,,,,,,,,7,,9,,,,,,,,,,,,,,,,,16,2
St2 C 6,St2 C 6,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,1,,,,6,3
