,,Plot,Row,Year,pH88,Waterdepth 88,Waterdepth
,,Plot,Row,Year,pH88,Waterd88,Waterdep
A1_77,A1_77,A1,A,1977,4.25,112,85
A2_77,A2_77,A2,A,1977,4.09,117,90
A3_77,A3_77,A3,A,1977,3.93,121,94
A4_77,A4_77,A4,A,1977,3.88,124,97
B1_77,B1_77,B1,B,1977,4.28,114,87
B2_77,B2_77,B2,B,1977,4.09,119,92
B3_77,B3_77,B3,B,1977,3.99,124,97
B4_77,B4_77,B4,B,1977,3.91,131,104
C1_77,C1_77,C1,C,1977,4.03,119,92
C2_77,C2_77,C2,C,1977,3.95,122,95
C3_77,C3_77,C3,C,1977,3.84,129,102
C4_77,C4_77,C4,C,1977,3.77,139,112
D1_77,D1_77,D1,D,1977,3.79,124,97
D2_77,D2_77,D2,D,1977,3.81,132,105
D3_77,D3_77,D3,D,1977,3.74,142,115
D4_77,D4_77,D4,D,1977,3.71,146,119
E1_77,E1_77,E1,E,1977,3.58,138,111
E2_77,E2_77,E2,E,1977,3.69,150,123
E3_77,E3_77,E3,E,1977,3.7,155,128
E4_77,E4_77,E4,E,1977,3.72,150,123
A1_88,A1_88,A1,A,1988,4.25,112,112
A2_88,A2_88,A2,A,1988,4.09,117,117
A3_88,A3_88,A3,A,1988,3.93,121,121
A4_88,A4_88,A4,A,1988,3.88,124,124
B1_88,B1_88,B1,B,1988,4.28,114,114
B2_88,B2_88,B2,B,1988,4.09,119,119
B3_88,B3_88,B3,B,1988,3.99,124,124
B4_88,B4_88,B4,B,1988,3.91,131,131
C1_88,C1_88,C1,C,1988,4.03,119,119
C2_88,C2_88,C2,C,1988,3.95,122,122
C3_88,C3_88,C3,C,1988,3.84,129,129
C4_88,C4_88,C4,C,1988,3.77,139,139
D1_88,D1_88,D1,D,1988,3.79,124,124
D2_88,D2_88,D2,D,1988,3.81,132,132
D3_88,D3_88,D3,D,1988,3.74,142,142
D4_88,D4_88,D4,D,1988,3.71,146,146
E1_88,E1_88,E1,E,1988,3.58,138,138
E2_88,E2_88,E2,E,1988,3.69,150,150
E3_88,E3_88,E3,E,1988,3.7,155,155
E4_88,E4_88,E4,E,1988,3.72,150,150
