,,ACHILMIL,ACHILPTA,AGROS-SP,ANGELSYL,ANTHOODO,CALAMCAN,CAPSEBUR,CARDAPRA,CAREXNIG,CAREXPEA,CENTAJAC,CERASF:F,CIRSIARV,CIRSIDIS,CIRSIPAL,CLADIMAR,CYNOSCRI,DACTYGLO,DACTYMAC,DANTHDEC,EQUISPAL,FESTUARU,FESTUPRA,FESTUR:C,FILIPULM,GALIUULI,HOLCULAN,HYPOCRAD,IRIS PSE,JUNCUCON,LEONTAUT,LEONTSAX,LEUCAVUL,LOTUSULI,LUZULM:M,LYCHNFLO,LYSIMVUL,LYTHRSAL,MOLINCAE,PEUCEPAL,PHLEUPRA,PLANTLAN,POA  PRA,POLYGVUL,POTENERE,PRUNEVUL,RANUNACR,RANUNREP,RUMEXASA,SALIXAUR,SALIXREP,STELLULI,STELLMED,TARAXOFF,TRIFODUB,TRIFOPRA,VIOLACAN,VIOLAPAL,OPHIOVUL,QUERCROB,RANUNFLA,JUNCUACU,NARDUSTR,GENTIPNE,HYDROVUL,HYPERMAC,PARNAPAL,POLYGAMP,SAGINPRO,BRIZAMED,CAREXPIL,FESTUO:T,GALIUP:P,BETUL-SP,ERICATET,HIERALAE,PLATABIF,STELLGRA,CALLUVUL,CHAMEANG,GENISANG,VICIACRA,HIERAPIL,TANACVUL,SUCCIPRA,RUBUSFRU,SELINCAR,MYRICGAL,POPULTRE,ALNUSGLU,CORYLAVE,CRATAMON,JUNCUBUL,RUBUSIDA,EQUISARV,FRANGALN,VALNAOFF,HIERA-SP,LUZULCAM,POPUL-SP
,,ACHILMIL,ACHILPTA,AGROS-SP,ANGELSYL,ANTHOODO,CALAMCAN,CAPSEBUR,CARDAPRA,CAREXNIG,CAREXPEA,CENTAJAC,CERASF:F,CIRSIARV,CIRSIDIS,CIRSIPAL,CLADIMAR,CYNOSCRI,DACTYGLO,DACTYMAC,DANTHDEC,EQUISPAL,FESTUARU,FESTUPRA,FESTUR:C,FILIPULM,GALIUULI,HOLCULAN,HYPOCRAD,IRIS PSE,JUNCUCON,LEONTAUT,LEONTSAX,LEUCAVUL,LOTUSULI,LUZULM:M,LYCHNFLO,LYSIMVUL,LYTHRSAL,MOLINCAE,PEUCEPAL,PHLEUPRA,PLANTLAN,POA  PRA,POLYGVUL,POTENERE,PRUNEVUL,RANUNACR,RANUNREP,RUMEXASA,SALIXAUR,SALIXREP,STELLULI,STELLMED,TARAXOFF,TRIFODUB,TRIFOPRA,VIOLACAN,VIOLAPAL,OPHIOVUL,QUERCROB,RANUNFLA,JUNCUACU,NARDUSTR,GENTIPNE,HYDROVUL,HYPERMAC,PARNAPAL,POLYGAMP,SAGINPRO,BRIZAMED,CAREXPIL,FESTUO:T,GALIUP:P,BETUL-SP,ERICATET,HIERALAE,PLATABIF,STELLGRA,CALLUVUL,CHAMEANG,GENISANG,VICIACRA,HIERAPIL,TANACVUL,SUCCIPRA,RUBUSFRU,SELINCAR,MYRICGAL,POPULTRE,ALNUSGLU,CORYLAVE,CRATAMON,JUNCUBUL,RUBUSIDA,EQUISARV,FRANGALN,VALNAOFF,HIERA-SP,LUZULCAM,POPUL-SP
A1_77,A1_77,2,1,2,1,2,1,1,2,1,2,3,2,1,1,2,1,2,2,1,2,1,2,1,3,1,1,2,2,1,1,2,2,2,2,2,2,3,1,1,1,1,2,1,2,1,1,2,1,3,2,1,1,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2_77,A2_77,,2,2,1,2,1,,2,1,2,3,2,1,1,2,1,1,1,1,3,1,1,,3,,1,2,2,1,1,2,2,2,3,3,2,2,1,1,,,2,,2,2,2,2,1,2,2,2,,,2,1,2,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3_77,A3_77,1,1,2,1,2,2,,1,1,2,3,1,,1,1,1,1,1,1,2,1,1,,3,,,2,2,1,1,1,2,2,2,2,1,2,1,1,,1,2,,1,1,2,2,1,2,1,,,,1,,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4_77,A4_77,1,2,2,,2,,,,1,2,3,2,,2,1,,1,1,1,1,1,1,1,3,,,2,3,1,,1,3,2,2,2,2,2,,1,,,2,,2,1,2,2,,3,1,1,,,1,,2,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_77,B1_77,1,2,2,2,2,,1,1,1,2,3,1,,3,2,1,1,1,2,3,,2,,3,,1,2,3,1,2,2,2,2,2,3,2,2,,1,,,2,,2,2,2,2,1,2,2,2,,,3,1,2,1,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_77,B2_77,,1,2,,2,,,1,,3,3,1,,3,2,1,1,,2,3,1,,,3,,1,2,3,,2,,3,2,3,3,2,2,2,2,,,2,,3,1,2,2,,2,2,2,,,2,,2,,,,1,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_77,B3_77,1,1,2,,2,,,2,,2,3,1,,2,1,,1,1,2,2,2,1,1,3,,,1,2,,1,1,2,2,2,2,2,2,1,1,,,2,,2,1,2,2,,2,2,2,,,2,,2,,,,1,,2,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4_77,B4_77,2,2,2,,1,,,,1,2,3,1,,2,2,,,,1,2,2,2,,3,,,1,3,,1,1,3,3,2,3,2,2,,2,,,2,,2,,1,2,1,3,1,2,,,1,,1,,,,1,,1,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_77,C1_77,2,2,2,1,2,,,1,,2,3,1,,3,2,1,,1,2,3,1,2,1,3,,1,2,3,,1,2,2,3,2,3,1,2,1,,,,2,,2,2,2,2,1,2,2,2,,,2,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_77,C2_77,2,2,2,,2,,,,,2,3,2,,3,2,,1,1,1,3,2,1,,3,,,2,3,,1,1,2,2,2,3,1,2,1,2,,1,2,,3,2,2,2,1,2,2,2,,,2,,2,,,,1,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3_77,C3_77,2,2,3,,2,,1,,1,3,2,1,,2,1,,1,1,3,3,2,1,1,3,,1,2,3,,1,1,2,2,2,3,,2,,2,,,2,,3,2,2,2,,2,2,3,,,1,,2,,,,1,,,1,,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
C4_77,C4_77,2,2,2,,1,,,,2,2,2,,,2,1,,,1,2,3,1,1,,3,,,1,3,,2,1,3,2,2,2,,2,,2,,,2,,3,2,2,2,,2,2,3,,,1,,1,,,,1,,,2,,,,,1,1,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
D1_77,D1_77,2,1,2,,1,,,,2,2,1,,,3,1,,,,2,3,2,1,,3,,,1,3,,1,2,2,2,1,2,,2,,1,,,2,,2,2,1,2,,2,2,3,,,2,1,1,,,,1,1,,,,,,,,1,,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,
D2_77,D2_77,2,1,1,,2,,,,,3,1,1,,3,2,,,1,2,3,2,2,,3,,,2,3,,1,1,2,2,2,3,,2,,2,,,2,,2,2,2,2,,2,2,3,,,2,,1,,,,1,,,,,,,,,,,,,,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,
D3_77,D3_77,2,,2,1,1,,,,2,2,2,,,2,,,,1,2,3,2,1,,2,,,1,3,,2,1,3,2,1,3,,2,,1,,,2,,3,2,1,1,,1,2,3,,,,,,,,,1,,,,1,,1,,,,1,1,,,1,2,1,,,,,,,2,1,,,,,,,,,,,,,,,,
D4_77,D4_77,2,1,2,,2,,,,2,2,2,,,2,1,,,1,2,3,1,,,3,,,1,3,,1,1,3,2,1,3,,2,,2,,,2,,2,2,1,1,,1,2,3,,,1,,,,,,1,,,1,,,1,,,,1,1,,,2,2,1,,,1,,1,,,,1,,,,,,,,,,,,,,,
E1_77,E1_77,2,1,2,1,1,,,,1,3,2,,,3,2,,,1,3,3,1,1,,2,,,1,3,,2,1,1,2,1,3,,2,,1,,,2,,,3,,,,1,2,3,,,1,,,,,,1,,1,,2,,,,,,,,2,,1,1,2,,,1,,1,,2,,,1,1,,,,,,,,,,,,,
E2_77,E2_77,2,,2,,1,,,,,2,2,,,3,2,,,,3,3,,,,2,,,1,3,,2,1,1,2,1,2,,2,,2,,,2,,2,2,1,,,2,2,2,,,,,,,,,1,,,,1,,,,,,,,1,,1,2,2,,,1,,1,,2,,1,,,1,,,,,,,,,,,,
