"AC001A","AC013A","AC013E","AM011A","AM012A","AS001A","AU002A","AU003B","CC001A","CC002A","CC9997","CM004A","CO001A","CY002A","CY003A","CY009A","CY011A","FR001A","FR002A","FR002C","FR006A","FR006E","FR009B","FR018A","FR019A","GO013A","NA004A","NA007A","NA022A","NA042A","NA114A","NI009A","NI014A","NI015A","NI083A","NI196A","NI9969","NI9971","OP001A","ST001A","ST002A","ST010A","SU016A","SY002A","SY003A","SY003C","SY010A","UN9992"
"X004",0,0.55,0,0.74,0.92,1.66,4.6,0,0,0,0,0,0.18,1.11,0,0,0,3.13,5.53,7,53.22,0,0,0,0,0,0,0,0,0,4.97,0.37,0,0.18,0,0,0,0,0,0.18,0,0.55,0,0,3.13,0.92,0,0
"X007",0.36,3.4,0,1.07,8.05,0.36,0,0,2.15,3.4,0,0,3.94,1.97,3.04,0,0.72,3.22,0,0.18,1.07,0,2.68,1.25,0.18,1.07,0.36,0.89,0,0,0,1.97,0.72,0.72,0,0,0,0,0,2.5,3.22,7.87,0,0,3.94,0,0,0
"X031",0.9,1.08,0,0.9,5.39,0,0,0,0,0.18,0.18,0,0.72,0,0,0,0,2.15,7.54,37.52,18.13,0,0,0.72,1.44,0.54,0,0,0,0,1.44,0,1.98,0,0,0,0,0,0,3.59,0,1.79,0,0,0.54,0.18,0,0
"X034",0.17,0.52,0,0.69,0.35,0,0,0,9.69,7.96,15.23,0,0.52,3.46,2.77,0,9.17,2.77,0,1.38,3.11,0,0,4.67,0.52,0,0.17,0.35,0,0.17,0,0.17,0,2.08,0,0,0,0,0,6.92,0.52,10.03,0.35,0,0,0,0,0
"X037",0,6.84,0,2.54,2.34,0.19,0,0,0,0,0,0,2.15,0.59,0.19,0,0,1.17,0.98,1.95,8.4,0,33.59,1.37,0,2.34,0,0.98,0,0,0,1.95,1.56,0.39,0,0.59,0,0,0,0.98,0.39,1.56,0,0,0,0,0,0
"X042",0.18,0.91,0,0,0.73,0.36,14.03,0,0,0,0,0,0.91,0,0,0,0,10.02,18.4,5.46,26.41,0,0,7.47,0,0,0,0.36,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X050",1.6,10.02,0,0,0,2.4,0,0,0.2,0.2,0,0,2.4,25.65,1.2,0,0.2,0,0,0,0,0,0.2,0.2,6.01,3.01,1.4,6.41,0,1,3.61,0.4,0,0.2,0,0.4,0,0,0,0,0,0,0,6.21,1.4,0,0,0
"X053",0.56,2.64,0,0.94,0,2.83,9.6,0,0,2.26,0,0,0,10.92,0.94,0,0.75,0.38,0,3.77,0,0,0,3.95,1.88,0.75,0.38,2.26,1.7,0.19,0.38,1.32,0,0.38,0,1.13,0,0,0,1.13,2.45,0.75,0.19,0,1.7,0,0,0
"X057",31.38,1.38,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0.17,0,0,0.86,0,8.1,0.69,0,0,0.34,1.21,0,0.52,0.52,0,0.86,8.62,1.55,0,0.17,0,0.52,0,0,7.76,0,0,0,0,0,0,0,0,0
"X058",0.51,7.78,0,0.34,0,1.18,0.34,0,0,0,0,0,4.06,1.69,1.35,0,0,2.37,0,25.38,0,0,0.17,9.65,0.51,0.85,0,0.34,0.17,0.85,4.57,0.85,0,0,0,0,0,0,0,0,0,0,0,2.2,1.86,0,0,4.57
