"AC001A","AC013A","AC013E","AM011A","AM012A","AS001A","AU002A","AU003B","CC001A","CC002A","CC9997","CM004A","CO001A","CY002A","CY003A","CY009A","CY011A","FR001A","FR002A","FR002C","FR006A","FR006E","FR009B","FR018A","FR019A","GO013A","NA004A","NA007A","NA022A","NA042A","NA114A","NI009A","NI014A","NI015A","NI083A","NI196A","NI9969","NI9971","OP001A","ST001A","ST002A","ST010A","SU016A","SY002A","SY003A","SY003C","SY010A","UN9992","pH","Conductivity","Alkalinity","TP","SiO2","NO3","Na","K","Mg","Ca","Cl","SO4","Chla","Secchi","Maxdepth"
4,0,0.55,0,0.74,0.92,1.66,4.6,0,0,0,0,0,0.18,1.11,0,0,0,3.13,5.53,7,53.22,0,0,0,0,0,0,0,0,0,4.97,0.37,0,0.18,0,0,0,0,0,0.18,0,0.55,0,0,3.13,0.92,0,0,8.01308,2.68232,0.538786,1.89173,1.26654,-0.0333169,2.58659,1.899,2.66464,3.55215,2.79134,3.21365,1.51904,0.83666,1.73205
7,0.36,3.4,0,1.07,8.05,0.36,0,0,2.15,3.4,0,0,3.94,1.97,3.04,0,0.72,3.22,0,0.18,1.07,0,2.68,1.25,0.18,1.07,0.36,0.89,0,0,0,1.97,0.72,0.72,0,0,0,0,0,2.5,3.22,7.87,0,0,3.94,0,0,0,8.00154,2.75521,0.545783,2.22282,1.61336,0.195687,3.09499,2.38605,2.7805,3.7286,3.21531,3.28931,2.29684,0.774597,1.09545
31,0.9,1.08,0,0.9,5.39,0,0,0,0,0.18,0.18,0,0.72,0,0,0,0,2.15,7.54,37.52,18.13,0,0,0.72,1.44,0.54,0,0,0,0,1.44,0,1.98,0,0,0,0,0,0,3.59,0,1.79,0,0,0.54,0.18,0,0,8.15615,2.7013,0.601559,2.80295,1.63063,-0.0300826,2.79169,2.38337,2.58855,3.6505,2.79675,3.08332,2.43457,1.34164,1.09545
34,0.17,0.52,0,0.69,0.35,0,0,0,9.69,7.96,15.23,0,0.52,3.46,2.77,0,9.17,2.77,0,1.38,3.11,0,0,4.67,0.52,0,0.17,0.35,0,0.17,0,0.17,0,2.08,0,0,0,0,0,6.92,0.52,10.03,0.35,0,0,0,0,0,7.82923,2.64583,0.349651,2.66335,1.57493,0.15111,3.09316,2.16137,2.4818,3.45052,3.05269,2.99112,2.00415,0.547723,1
37,0,6.84,0,2.54,2.34,0.19,0,0,0,0,0,0,2.15,0.59,0.19,0,0,1.17,0.98,1.95,8.4,0,33.59,1.37,0,2.34,0,0.98,0,0,0,1.95,1.56,0.39,0,0.59,0,0,0,0.98,0.39,1.56,0,0,0,0,0,0,7.90769,2.57377,0.375875,2.04176,1.5084,0.746933,2.63699,1.71391,2.21285,3.53615,2.73838,2.76938,1.19201,1.48324,1.41421
42,0.18,0.91,0,0,0.73,0.36,14.03,0,0,0,0,0,0.91,0,0,0,0,10.02,18.4,5.46,26.41,0,0,7.47,0,0,0,0.36,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24545,2.43974,0.28062,1.83229,1.36395,-0.0293996,2.58799,1.65079,2.14613,3.33425,2.68753,2.55841,2.18594,0.74162,1.30384
50,1.6,10.02,0,0,0,2.4,0,0,0.2,0.2,0,0,2.4,25.65,1.2,0,0.2,0,0,0,0,0,0.2,0.2,6.01,3.01,1.4,6.41,0,1,3.61,0.4,0,0.2,0,0.4,0,0,0,0,0,0,0,6.21,1.4,0,0,0,6.85462,2.61729,-0.0911027,1.99069,1.30971,0.64851,3.25072,1.86776,2.84665,3.15972,3.33905,2.93031,1.92412,0.547723,1.34164
53,0.56,2.64,0,0.94,0,2.83,9.6,0,0,2.26,0,0,0,10.92,0.94,0,0.75,0.38,0,3.77,0,0,0,3.95,1.88,0.75,0.38,2.26,1.7,0.19,0.38,1.32,0,0.38,0,1.13,0,0,0,1.13,2.45,0.75,0.19,0,1.7,0,0,0,7.29615,2.35685,-0.161151,2.2851,1.16559,0.109553,2.8341,1.90037,2.54002,3.02612,2.92091,2.71871,1.55364,0.632456,1.41421
57,31.38,1.38,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0.17,0,0,0.86,0,8.1,0.69,0,0,0.34,1.21,0,0.52,0.52,0,0.86,8.62,1.55,0,0.17,0,0.52,0,0,7.76,0,0,0,0,0,0,0,0,0,7.67846,2.43512,0.0761081,2.52328,1.62849,0.711872,2.72016,1.79239,2.29776,3.2976,2.71181,2.65225,1.7558,1.22474,0.83666
58,0.51,7.78,0,0.34,0,1.18,0.34,0,0,0,0,0,4.06,1.69,1.35,0,0,2.37,0,25.38,0,0,0.17,9.65,0.51,0.85,0,0.34,0.17,0.85,4.57,0.85,0,0,0,0,0,0,0,0,0,0,0,2.2,1.86,0,0,4.57,7.42,2.31492,-0.23085,1.71792,0.342271,-0.129866,2.8821,1.55931,2.12548,3.0215,2.95689,2.43497,1.4221,0.83666,1.48324
